               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028759,            0.022945,           0.0041153,             0.98481,             0.96639,              0.9891,             0.76161,            0.014612,           0.0099416,          0.00080575,            0.006535,            0.006535,            0.006535
                  37,             0.02844,            0.023149,           0.0032986,             0.96838,             0.96917,             0.98474,             0.74366,            0.015043,           0.0096176,          0.00061953,            0.006436,            0.006436,            0.006436
                  38,            0.029244,            0.022257,           0.0031397,              0.9765,             0.95995,             0.97671,             0.73495,            0.015974,           0.0096917,          0.00087663,            0.006337,            0.006337,            0.006337
                  39,            0.029005,            0.022688,           0.0029717,             0.98036,             0.96878,             0.98674,             0.77382,            0.013738,           0.0096569,          0.00097655,            0.006238,            0.006238,            0.006238
                  40,            0.028308,            0.021875,           0.0038229,             0.97978,             0.97476,             0.98448,             0.77766,            0.013327,           0.0093556,          0.00062205,            0.006139,            0.006139,            0.006139
                  41,            0.029153,            0.022007,           0.0030302,             0.98823,             0.96132,             0.99044,             0.78375,            0.013562,           0.0095691,          0.00070959,             0.00604,             0.00604,             0.00604
                  42,            0.027467,            0.022081,           0.0023803,             0.96926,              0.9725,             0.98511,              0.7815,            0.013469,           0.0094904,          0.00063249,            0.005941,            0.005941,            0.005941
                  43,            0.027431,            0.021099,           0.0024816,             0.97885,             0.98276,             0.98832,             0.77143,            0.014062,           0.0090852,          0.00058801,            0.005842,            0.005842,            0.005842
                  44,            0.027799,            0.021242,           0.0027466,             0.99105,             0.97972,             0.98924,             0.79511,            0.012721,           0.0087277,          0.00061943,            0.005743,            0.005743,            0.005743
                  45,             0.02677,            0.021537,           0.0027874,              0.9868,             0.97166,             0.98659,             0.77474,            0.014099,           0.0090178,          0.00054981,            0.005644,            0.005644,            0.005644
                  46,            0.027452,            0.020873,            0.003811,             0.97494,             0.97845,             0.98827,             0.78678,            0.014096,           0.0092245,          0.00057819,            0.005545,            0.005545,            0.005545
                  47,            0.027212,            0.021801,           0.0028986,              0.9736,              0.9816,             0.98639,             0.80034,            0.013605,           0.0089754,          0.00061641,            0.005446,            0.005446,            0.005446
                  48,            0.026696,            0.020135,            0.003386,             0.98282,             0.97699,              0.9869,             0.79773,            0.012759,           0.0089226,          0.00066496,            0.005347,            0.005347,            0.005347
                  49,             0.02639,            0.021608,           0.0032652,             0.98158,             0.98648,             0.98931,             0.78574,            0.013462,           0.0087405,          0.00060038,            0.005248,            0.005248,            0.005248
                  50,            0.026098,            0.020173,           0.0026773,             0.98186,             0.98033,             0.98686,             0.80446,            0.012928,           0.0086555,          0.00053684,            0.005149,            0.005149,            0.005149
                  51,            0.025947,            0.020802,           0.0024604,             0.98417,             0.98095,             0.99075,             0.80665,             0.01249,           0.0084282,          0.00049257,             0.00505,             0.00505,             0.00505
                  52,            0.026087,            0.019731,           0.0028783,              0.9749,             0.97781,             0.99093,             0.81326,            0.012571,           0.0085401,          0.00048427,            0.004951,            0.004951,            0.004951
                  53,            0.024443,            0.020283,           0.0018688,             0.98467,             0.98536,             0.98989,             0.81826,            0.011572,           0.0084651,          0.00053592,            0.004852,            0.004852,            0.004852
                  54,            0.024549,            0.019516,           0.0022122,             0.98749,             0.98114,             0.99152,             0.83173,            0.011681,           0.0079761,          0.00049161,            0.004753,            0.004753,            0.004753
                  55,            0.024816,             0.01969,            0.001749,             0.98777,             0.98107,             0.99034,             0.82818,            0.011531,           0.0078966,          0.00049404,            0.004654,            0.004654,            0.004654
                  56,            0.024861,            0.018912,           0.0022139,             0.99234,             0.98135,             0.99118,             0.82386,            0.011436,           0.0078193,          0.00047727,            0.004555,            0.004555,            0.004555
                  57,            0.024454,            0.019597,           0.0017321,             0.99101,             0.98198,             0.99092,             0.82582,            0.010712,           0.0077076,          0.00046467,            0.004456,            0.004456,            0.004456
                  58,             0.02407,            0.019148,           0.0019771,             0.99015,             0.98833,             0.98941,             0.83543,            0.010992,           0.0078153,          0.00040584,            0.004357,            0.004357,            0.004357
                  59,            0.024619,            0.019226,           0.0019272,             0.98782,              0.9843,             0.98792,             0.84245,            0.010707,           0.0078289,          0.00041485,            0.004258,            0.004258,            0.004258
                  60,            0.024495,            0.018998,           0.0019339,             0.98983,             0.98157,             0.98997,             0.83197,            0.011037,           0.0077788,          0.00041993,            0.004159,            0.004159,            0.004159
                  61,            0.024545,            0.018468,           0.0017861,             0.99082,             0.99117,              0.9922,              0.8336,            0.011096,           0.0075673,          0.00037868,             0.00406,             0.00406,             0.00406
                  62,            0.023416,             0.01871,           0.0022961,             0.98812,              0.9876,             0.99163,             0.83788,            0.010776,           0.0076741,          0.00038858,            0.003961,            0.003961,            0.003961
                  63,            0.022721,            0.018852,            0.001589,             0.99325,             0.98853,             0.99162,             0.84787,            0.010523,           0.0075816,           0.0004074,            0.003862,            0.003862,            0.003862
                  64,            0.022658,            0.017925,           0.0023374,             0.99036,             0.98953,             0.99159,             0.83817,            0.010281,           0.0076324,          0.00038766,            0.003763,            0.003763,            0.003763
                  65,            0.022417,            0.018552,           0.0015716,             0.98694,             0.98851,             0.99127,             0.84386,            0.010378,           0.0075935,          0.00038829,            0.003664,            0.003664,            0.003664
                  66,            0.022555,            0.018432,           0.0018075,             0.99016,             0.98437,             0.99131,             0.85287,             0.01004,           0.0073161,          0.00034156,            0.003565,            0.003565,            0.003565
                  67,            0.022103,            0.018414,           0.0019396,             0.99143,             0.98857,             0.99169,              0.8606,           0.0098734,           0.0072137,          0.00031729,            0.003466,            0.003466,            0.003466
                  68,            0.021619,            0.017837,           0.0017624,             0.98568,              0.9899,             0.99187,             0.85723,           0.0096777,           0.0071105,          0.00030912,            0.003367,            0.003367,            0.003367
